"1980 FIPS place code","1980 FIPS county code (incl. state)","STATE CODE (FIPS)","cnty80nm","1980 Place Name","1990 POP","fplace80 to cnty80 alloc factor"
" ","01001","01","Autauga AL"," ",14566,0 
" ","01003","01","Baldwin AL"," ",54293,0.001 
" ","01005","01","Barbour AL"," ",8571,0 
" ","01007","01","Bibb AL"," ",10365,0 
" ","01009","01","Blount AL"," ",30862,0 
" ","01011","01","Bullock AL"," ",6612,0 
" ","01013","01","Butler AL"," ",12003,0 
" ","01015","01","Calhoun AL"," ",37013,0 
" ","01017","01","Chambers AL"," ",12626,0 
" ","01019","01","Cherokee AL"," ",15748,0 
" ","01021","01","Chilton AL"," ",23426,0 
" ","01023","01","Choctaw AL"," ",12783,0 
" ","01025","01","Clarke AL"," ",14769,0 
" ","01027","01","Clay AL"," ",9315,0 
" ","01029","01","Cleburne AL"," ",9341,0 
" ","01031","01","Coffee AL"," ",15415,0 
" ","01033","01","Colbert AL"," ",19936,0 
" ","01035","01","Conecuh AL"," ",9181,0 
" ","01037","01","Coosa AL"," ",8762,0 
" ","01039","01","Covington AL"," ",14459,0 
" ","01041","01","Crenshaw AL"," ",8962,0 
" ","01043","01","Cullman AL"," ",48550,0.001 
" ","01045","01","Dale AL"," ",16663,0 
" ","01047","01","Dallas AL"," ",20402,0 
" ","01049","01","DeKalb AL"," ",29143,0 
" ","01051","01","Elmore AL"," ",35751,0 
" ","01053","01","Escambia AL"," ",17562,0 
" ","01055","01","Etowah AL"," ",26694,0 
" ","01057","01","Fayette AL"," ",11909,0 
" ","01059","01","Franklin AL"," ",14971,0 
" ","01061","01","Geneva AL"," ",11233,0 
" ","01063","01","Greene AL"," ",6879,0 
" ","01065","01","Hale AL"," ",10625,0 
" ","01067","01","Henry AL"," ",8322,0 
" ","01069","01","Houston AL"," ",19966,0 
" ","01071","01","Jackson AL"," ",26224,0 
" ","01073","01","Jefferson AL"," ",157822,0.002 
" ","01075","01","Lamar AL"," ",9246,0 
" ","01077","01","Lauderdale AL"," ",37816,0.001 
" ","01079","01","Lawrence AL"," ",26348,0 
" ","01081","01","Lee AL"," ",31264,0 
" ","01083","01","Limestone AL"," ",36881,0 
" ","01085","01","Lowndes AL"," ",9563,0 
" ","01087","01","Macon AL"," ",11944,0 
