GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B1N001
"G0100010","1950","Alabama","010","Autauga","0010","Autauga",18186
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin",40997
"G0100050","1950","Alabama","010","Barbour","0050","Barbour",28892
"G0100070","1950","Alabama","010","Bibb","0070","Bibb",17987
"G0100090","1950","Alabama","010","Blount","0090","Blount",28975
"G0100110","1950","Alabama","010","Bullock","0110","Bullock",16054
"G0100130","1950","Alabama","010","Butler","0130","Butler",29228
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun",79539
"G0100170","1950","Alabama","010","Chambers","0170","Chambers",39528
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee",17634
"G0100210","1950","Alabama","010","Chilton","0210","Chilton",26922
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw",19152
"G0100250","1950","Alabama","010","Clarke","0250","Clarke",26548
"G0100270","1950","Alabama","010","Clay","0270","Clay",13929
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne",11904
"G0100310","1950","Alabama","010","Coffee","0310","Coffee",30720
"G0100330","1950","Alabama","010","Colbert","0330","Colbert",39561
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh",21776
"G0100370","1950","Alabama","010","Coosa","0370","Coosa",11766
"G0100390","1950","Alabama","010","Covington","0390","Covington",40373
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw",18981
"G0100430","1950","Alabama","010","Cullman","0430","Cullman",49046
"G0100450","1950","Alabama","010","Dale","0450","Dale",20828
"G0100470","1950","Alabama","010","Dallas","0470","Dallas",56270
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb",45048
"G0100510","1950","Alabama","010","Elmore","0510","Elmore",31649
"G0100530","1950","Alabama","010","Escambia","0530","Escambia",31443
"G0100550","1950","Alabama","010","Etowah","0550","Etowah",93892
"G0100570","1950","Alabama","010","Fayette","0570","Fayette",19388
"G0100590","1950","Alabama","010","Franklin","0590","Franklin",25705
"G0100610","1950","Alabama","010","Geneva","0610","Geneva",25899
"G0100630","1950","Alabama","010","Greene","0630","Greene",16482
"G0100650","1950","Alabama","010","Hale","0650","Hale",20832
"G0100670","1950","Alabama","010","Henry","0670","Henry",18674
"G0100690","1950","Alabama","010","Houston","0690","Houston",46522
"G0100710","1950","Alabama","010","Jackson","0710","Jackson",38998
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson",558928
"G0100750","1950","Alabama","010","Lamar","0750","Lamar",16441
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale",54179
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence",27128
"G0100810","1950","Alabama","010","Lee","0810","Lee",45073
"G0100830","1950","Alabama","010","Limestone","0830","Limestone",35766
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes",18018
"G0100870","1950","Alabama","010","Macon","0870","Macon",30561
"G0100890","1950","Alabama","010","Madison","0890","Madison",72903
"G0100910","1950","Alabama","010","Marengo","0910","Marengo",29494
"G0100930","1950","Alabama","010","Marion","0930","Marion",27264
"G0100950","1950","Alabama","010","Marshall","0950","Marshall",45090
"G0100970","1950","Alabama","010","Mobile","0970","Mobile",231105
"G0100990","1950","Alabama","010","Monroe","0990","Monroe",25732
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery",138965
"G0101030","1950","Alabama","010","Morgan","1030","Morgan",52924
"G0101050","1950","Alabama","010","Perry","1050","Perry",20439
"G0101070","1950","Alabama","010","Pickens","1070","Pickens",24349
"G0101090","1950","Alabama","010","Pike","1090","Pike",30608
"G0101110","1950","Alabama","010","Randolph","1110","Randolph",22513
"G0101130","1950","Alabama","010","Russell","1130","Russell",40364
"G0101150","1950","Alabama","010","St Clair","1150","St Clair",26687
"G0101170","1950","Alabama","010","Shelby","1170","Shelby",30362
"G0101190","1950","Alabama","010","Sumter","1190","Sumter",23610
"G0101210","1950","Alabama","010","Talladega","1210","Talladega",63639
"G0101230","1950","Alabama","010","Tallapoosa","1230","Tallapoosa",35074
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa",94092
"G0101270","1950","Alabama","010","Walker","1270","Walker",63769
"G0101290","1950","Alabama","010","Washington","1290","Washington",15612
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox",23476
"G0101330","1950","Alabama","010","Winston","1330","Winston",18250
"G0250015","1950","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",28203
"G0250035","1950","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",28650
"G0250075","1950","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",12272
"G0250115","1950","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",59518
"G0400010","1950","Arizona","040","Apache","0010","Apache",27767
"G0400030","1950","Arizona","040","Cochise","0030","Cochise",31488
"G0400050","1950","Arizona","040","Coconino","0050","Coconino",23910
"G0400070","1950","Arizona","040","Gila","0070","Gila",24158
"G0400090","1950","Arizona","040","Graham","0090","Graham",12985
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee",12805
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa",331770
"G0400150","1950","Arizona","040","Mohave","0150","Mohave",8510
"G0400170","1950","Arizona","040","Navajo","0170","Navajo",29446
"G0400190","1950","Arizona","040","Pima","0190","Pima",141216
"G0400210","1950","Arizona","040","Pinal","0210","Pinal",43191
"G0400230","1950","Arizona","040","Santa Cruz","0230","Santa Cruz",9344
"G0400250","1950","Arizona","040","Yavapai","0250","Yavapai",24991
"G0400270","1950","Arizona","040","Yuma","0270","Yuma",28006
"G0500010","1950","Arkansas","050","Arkansas","0010","Arkansas",23665
"G0500030","1950","Arkansas","050","Ashley","0030","Ashley",25660
"G0500050","1950","Arkansas","050","Baxter","0050","Baxter",11683
"G0500070","1950","Arkansas","050","Benton","0070","Benton",38076
"G0500090","1950","Arkansas","050","Boone","0090","Boone",16260
"G0500110","1950","Arkansas","050","Bradley","0110","Bradley",15987
"G0500130","1950","Arkansas","050","Calhoun","0130","Calhoun",7132
"G0500150","1950","Arkansas","050","Carroll","0150","Carroll",13244
"G0500170","1950","Arkansas","050","Chicot","0170","Chicot",22306
"G0500190","1950","Arkansas","050","Clark","0190","Clark",22998
"G0500210","1950","Arkansas","050","Clay","0210","Clay",26674
"G0500230","1950","Arkansas","050","Cleburne","0230","Cleburne",11487
"G0500250","1950","Arkansas","050","Cleveland","0250","Cleveland",8956
"G0500270","1950","Arkansas","050","Columbia","0270","Columbia",28770
"G0500290","1950","Arkansas","050","Conway","0290","Conway",18137
"G0500310","1950","Arkansas","050","Craighead","0310","Craighead",50613
"G0500330","1950","Arkansas","050","Crawford","0330","Crawford",22727
"G0500350","1950","Arkansas","050","Crittenden","0350","Crittenden",47184
"G0500370","1950","Arkansas","050","Cross","0370","Cross",24757
"G0500390","1950","Arkansas","050","Dallas","0390","Dallas",12416
"G0500410","1950","Arkansas","050","Desha","0410","Desha",25155
"G0500430","1950","Arkansas","050","Drew","0430","Drew",17959
"G0500450","1950","Arkansas","050","Faulkner","0450","Faulkner",25289
"G0500470","1950","Arkansas","050","Franklin","0470","Franklin",12358
"G0500490","1950","Arkansas","050","Fulton","0490","Fulton",9187
"G0500510","1950","Arkansas","050","Garland","0510","Garland",47102
"G0500530","1950","Arkansas","050","Grant","0530","Grant",9024
"G0500550","1950","Arkansas","050","Greene","0550","Greene",29149
"G0500570","1950","Arkansas","050","Hempstead","0570","Hempstead",25080
"G0500590","1950","Arkansas","050","Hot Spring","0590","Hot Spring",22181
"G0500610","1950","Arkansas","050","Howard","0610","Howard",13342
"G0500630","1950","Arkansas","050","Independence","0630","Independence",23488
"G0500650","1950","Arkansas","050","Izard","0650","Izard",9953
"G0500670","1950","Arkansas","050","Jackson","0670","Jackson",25912
"G0500690","1950","Arkansas","050","Jefferson","0690","Jefferson",76075
"G0500710","1950","Arkansas","050","Johnson","0710","Johnson",16138
"G0500730","1950","Arkansas","050","Lafayette","0730","Lafayette",13203
"G0500750","1950","Arkansas","050","Lawrence","0750","Lawrence",21303
"G0500770","1950","Arkansas","050","Lee","0770","Lee",24322
"G0500790","1950","Arkansas","050","Lincoln","0790","Lincoln",17079
"G0500810","1950","Arkansas","050","Little River","0810","Little River",11690
