GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,PLACE,PLACEA,TRACTA,BLOCKA,BLCK_GRPA,EDINDA,ENUMDISTA,SCSA,SCSAA,URB_AREA,URB_AREAA,CDA,AIANHH,AIANHHA,ZIPA,AREANAME,C7L001
"G0100005","1980",,"3",,"6","Alabama","01",,,,,,,"Abbeville","0005",,,,,,,,,,,,,,"ABBEVILLE CITY",3155
"G0100010","1980",,"3",,"6","Alabama","01",,,,,,,"Adamsville","0010",,,,,,,,,,,,,,"ADAMSVILLE CITY",2498
"G0100015","1980",,"3",,"6","Alabama","01",,,,,,,"Addison","0015",,,,,,,,,,,,,,"ADDISON TOWN",746
"G0100020","1980",,"3",,"6","Alabama","01",,,,,,,"Akron","0020",,,,,,,,,,,,,,"AKRON TOWN",604
"G0100025","1980",,"3",,"6","Alabama","01",,,,,,,"Alabaster","0025",,,,,,,,,,,,,,"ALABASTER CITY",7079
"G0100030","1980",,"3",,"6","Alabama","01",,,,,,,"Albertville","0030",,,,,,,,,,,,,,"ALBERTVILLE CITY",12039
"G0100035","1980",,"3",,"6","Alabama","01",,,,,,,"Alexander City","0035",,,,,,,,,,,,,,"ALEXANDER CITY CITY",13807
"G0100040","1980",,"3",,"6","Alabama","01",,,,,,,"Aliceville","0040",,,,,,,,,,,,,,"ALICEVILLE CITY",3207
"G0100045","1980",,"3",,"6","Alabama","01",,,,,,,"Allgood","0045",,,,,,,,,,,,,,"ALLGOOD TOWN",387
"G0100050","1980",,"3",,"6","Alabama","01",,,,,,,"Altoona","0050",,,,,,,,,,,,,,"ALTOONA TOWN",928
"G0100055","1980",,"3",,"6","Alabama","01",,,,,,,"Andalusia","0055",,,,,,,,,,,,,,"ANDALUSIA CITY",10415
"G0100057","1980",,"3",,"6","Alabama","01",,,,,,,"Anderson","0057",,,,,,,,,,,,,,"ANDERSON TOWN",405
"G0100060","1980",,"3",,"6","Alabama","01",,,,,,,"Anniston","0060",,,,,,,,,,,,,,"ANNISTON CITY",29523
"G0100065","1980",,"3",,"6","Alabama","01",,,,,,,"Arab","0065",,,,,,,,,,,,,,"ARAB CITY",5967
"G0100070","1980",,"3",,"6","Alabama","01",,,,,,,"Ardmore","0070",,,,,,,,,,,,,,"ARDMORE TOWN",1096
"G0100075","1980",,"3",,"6","Alabama","01",,,,,,,"Ariton","0075",,,,,,,,,,,,,,"ARITON TOWN",844
"G0100077","1980",,"3",,"6","Alabama","01",,,,,,,"Arley","0077",,,,,,,,,,,,,,"ARLEY TOWN",276
"G0100080","1980",,"3",,"6","Alabama","01",,,,,,,"Ashford","0080",,,,,,,,,,,,,,"ASHFORD TOWN",2165
"G0100085","1980",,"3",,"6","Alabama","01",,,,,,,"Ashland","0085",,,,,,,,,,,,,,"ASHLAND TOWN",2052
"G0100090","1980",,"3",,"6","Alabama","01",,,,,,,"Ashville","0090",,,,,,,,,,,,,,"ASHVILLE TOWN",1489
"G0100095","1980",,"3",,"6","Alabama","01",,,,,,,"Athens","0095",,,,,,,,,,,,,,"ATHENS CITY",14558
"G0100100","1980",,"3",,"6","Alabama","01",,,,,,,"Atmore","0100",,,,,,,,,,,,,,"ATMORE CITY",8789
"G0100105","1980",,"3",,"6","Alabama","01",,,,,,,"Attalla","0105",,,,,,,,,,,,,,"ATTALLA CITY",7737
"G0100110","1980",,"3",,"6","Alabama","01",,,,,,,"Auburn","0110",,,,,,,,,,,,,,"AUBURN CITY",28471
"G0100115","1980",,"3",,"6","Alabama","01",,,,,,,"Autaugaville","0115",,,,,,,,,,,,,,"AUTAUGAVILLE TOWN",843
"G0100120","1980",,"3",,"6","Alabama","01",,,,,,,"Avon","0120",,,,,,,,,,,,,,"AVON TOWN",433
"G0100125","1980",,"3",,"6","Alabama","01",,,,,,,"Babbie","0125",,,,,,,,,,,,,,"BABBIE TOWN",553
"G0100127","1980",,"3",,"6","Alabama","01",,,,,,,"Baileyton","0127",,,,,,,,,,,,,,"BAILEYTON TOWN",396
"G0100130","1980",,"3",,"6","Alabama","01",,,,,,,"Banks","0130",,,,,,,,,,,,,,"BANKS TOWN",160
"G0100135","1980",,"3",,"6","Alabama","01",,,,,,,"Bay Minette","0135",,,,,,,,,,,,,,"BAY MINETTE CITY",7455
"G0100140","1980",,"3",,"6","Alabama","01",,,,,,,"Bayou La Batre","0140",,,,,,,,,,,,,,"BAYOU LA BATRE CITY",2005
"G0100150","1980",,"3",,"6","Alabama","01",,,,,,,"Bear Creek","0150",,,,,,,,,,,,,,"BEAR CREEK TOWN",353
"G0100155","1980",,"3",,"6","Alabama","01",,,,,,,"Beatrice","0155",,,,,,,,,,,,,,"BEATRICE TOWN",558
"G0100160","1980",,"3",,"6","Alabama","01",,,,,,,"Beaverton","0160",,,,,,,,,,,,,,"BEAVERTON TOWN",360
"G0100163","1980",,"3",,"6","Alabama","01",,,,,,,"Belk","0163",,,,,,,,,,,,,,"BELK TOWN",308
"G0100167","1980",,"3",,"6","Alabama","01",,,,,,,"Benton","0167",,,,,,,,,,,,,,"BENTON TOWN",74
"G0100170","1980",,"3",,"6","Alabama","01",,,,,,,"Berry","0170",,,,,,,,,,,,,,"BERRY TOWN",916
"G0100175","1980",,"3",,"6","Alabama","01",,,,,,,"Bessemer","0175",,,,,,,,,,,,,,"BESSEMER CITY",31729
