GEO.id,GEO.id2,GEO.display-label,VD01
1600000US0100124,0100124,"Abbeville city, Alabama",2987
1600000US0100460,0100460,"Adamsville city, Alabama",4965
1600000US0100484,0100484,"Addison town, Alabama",723
1600000US0100676,0100676,"Akron town, Alabama",521
1600000US0100820,0100820,"Alabaster city, Alabama",22619
1600000US0100988,0100988,"Albertville city, Alabama",17247
1600000US0101132,0101132,"Alexander City city, Alabama",15008
1600000US0101180,0101180,"Alexandria CDP, Alabama",3692
1600000US0101228,0101228,"Aliceville city, Alabama",2567
1600000US0101396,0101396,"Allgood town, Alabama",629
1600000US0101660,0101660,"Altoona town, Alabama",984
1600000US0101708,0101708,"Andalusia city, Alabama",8794
1600000US0101756,0101756,"Anderson town, Alabama",354
1600000US0101852,0101852,"Anniston city, Alabama",24276
1600000US0102116,0102116,"Arab city, Alabama",7174
1600000US0102260,0102260,"Ardmore town, Alabama",1034
1600000US0102320,0102320,"Argo town, Alabama",1780
1600000US0102428,0102428,"Ariton town, Alabama",772
1600000US0102500,0102500,"Arley town, Alabama",290
1600000US0102836,0102836,"Ashford city, Alabama",1853
1600000US0102860,0102860,"Ashland city, Alabama",1965
1600000US0102908,0102908,"Ashville town, Alabama",2260
1600000US0102956,0102956,"Athens city, Alabama",18967
1600000US0103004,0103004,"Atmore city, Alabama",7676
1600000US0103028,0103028,"Attalla city, Alabama",6592
1600000US0103076,0103076,"Auburn city, Alabama",42987
1600000US0103220,0103220,"Autaugaville town, Alabama",820
1600000US0103364,0103364,"Avon town, Alabama",466
1600000US0103556,0103556,"Babbie town, Alabama",627
1600000US0103676,0103676,"Baileyton town, Alabama",684
1600000US0103940,0103940,"Banks town, Alabama",224
1600000US0104660,0104660,"Bay Minette city, Alabama",7820
1600000US0104684,0104684,"Bayou La Batre city, Alabama",2313
1600000US0104852,0104852,"Bear Creek town, Alabama",1053
1600000US0104900,0104900,"Beatrice town, Alabama",412
1600000US0104948,0104948,"Beaverton town, Alabama",226
1600000US0105164,0105164,"Belk town, Alabama",214
1600000US0105692,0105692,"Benton town, Alabama",47
1600000US0105932,0105932,"Berry town, Alabama",1238
1600000US0105980,0105980,"Bessemer city, Alabama",29672
1600000US0106460,0106460,"Billingsley town, Alabama",116
1600000US0107000,0107000,"Birmingham city, Alabama",242820
1600000US0107120,0107120,"Black town, Alabama",202
1600000US0107456,0107456,"Blountsville town, Alabama",1768
