GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1600000US0103076,0103076,"Auburn city, Alabama",T1_POP$1600000US0103076
1600000US0107000,0107000,"Birmingham city, Alabama",T1_POP$1600000US0107000
1600000US0132968,0132968,"Hanceville city, Alabama",T1_POP$1600000US0132968
1600000US0150000,0150000,"Mobile city, Alabama",T1_POP$1600000US0150000
1600000US0151696,0151696,"Mountain Brook city, Alabama",T1_POP$1600000US0151696
1600000US0157048,0157048,"Opelika city, Alabama",T1_POP$1600000US0157048
1600000US0174592,0174592,"Talladega city, Alabama",T1_POP$1600000US0174592
1600000US0174976,0174976,"Tarrant city, Alabama",T1_POP$1600000US0174976
1600000US0176944,0176944,"Trussville city, Alabama",T1_POP$1600000US0176944
1600000US0177304,0177304,"Tuskegee city, Alabama",T1_POP$1600000US0177304
1600000US0178552,0178552,"Vestavia Hills city, Alabama",T1_POP$1600000US0178552
1600000US0179008,0179008,"Vincent town, Alabama",T1_POP$1600000US0179008
1600000US0234790,0234790,"Igiugig CDP, Alaska",T1_POP$1600000US0234790
1600000US0238420,0238420,"Kenai city, Alaska",T1_POP$1600000US0238420
1600000US0412000,0412000,"Chandler city, Arizona",T1_POP$1600000US0412000
1600000US0420050,0420050,"Douglas city, Arizona",T1_POP$1600000US0420050
1600000US0427400,0427400,"Gilbert town, Arizona",T1_POP$1600000US0427400
1600000US0455000,0455000,"Phoenix city, Arizona",T1_POP$1600000US0455000
1600000US0463470,0463470,"San Luis city, Arizona",T1_POP$1600000US0463470
1600000US0485540,0485540,"Yuma city, Arizona",T1_POP$1600000US0485540
1600000US0513300,0513300,"Charleston city, Arkansas",T1_POP$1600000US0513300
1600000US0513750,0513750,"Chidester city, Arkansas",T1_POP$1600000US0513750
1600000US0518520,0518520,"Dermott city, Arkansas",T1_POP$1600000US0518520
1600000US0527040,0527040,"Gilmore city, Arkansas",T1_POP$1600000US0527040
1600000US0530400,0530400,"Harrisburg city, Arkansas",T1_POP$1600000US0530400
1600000US0558880,0558880,"Reed town, Arkansas",T1_POP$1600000US0558880
1600000US0570010,0570010,"Trumann city, Arkansas",T1_POP$1600000US0570010
1600000US0600947,0600947,"Aliso Viejo city, California",T1_POP$1600000US0600947
1600000US0604982,0604982,"Bellflower city, California",T1_POP$1600000US0604982
1600000US0611446,0611446,"Carpinteria city, California",T1_POP$1600000US0611446
1600000US0612552,0612552,"Cerritos city, California",T1_POP$1600000US0612552
1600000US0614274,0614274,"Coalinga city, California",T1_POP$1600000US0614274
1600000US0614736,0614736,"Colma town, California",T1_POP$1600000US0614736
1600000US0616378,0616378,"Coronado city, California",T1_POP$1600000US0616378
1600000US0617918,0617918,"Daly City city, California",T1_POP$1600000US0617918
1600000US0625128,0625128,"Fort Jones city, California",T1_POP$1600000US0625128
1600000US0639220,0639220,"Laguna Hills city, California",T1_POP$1600000US0639220
1600000US0639259,0639259,"Laguna Woods city, California",T1_POP$1600000US0639259
1600000US0639496,0639496,"Lake Forest city, California",T1_POP$1600000US0639496
1600000US0648256,0648256,"Mission Viejo city, California",T1_POP$1600000US0648256
1600000US0662546,0662546,"Rohnert Park city, California",T1_POP$1600000US0662546
1600000US0666000,0666000,"San Diego city, California",T1_POP$1600000US0666000
1600000US0816000,0816000,"Colorado Springs city, Colorado",T1_POP$1600000US0816000
1600000US0820000,0820000,"Denver city, Colorado",T1_POP$1600000US0820000
1600000US0874430,0874430,"Stratmoor CDP, Colorado",T1_POP$1600000US0874430
1600000US0916960,0916960,"Conning Towers Nautilus Park CDP, Connecticut",T1_POP$1600000US0916960
1600000US0934180,0934180,"Groton city, Connecticut",T1_POP$1600000US0934180
1600000US1050670,1050670,"Newark city, Delaware",T1_POP$1600000US1050670
1600000US1150000,1150000,"Washington city, District of Columbia",T1_POP$1600000US1150000
1600000US1207525,1207525,"Bonita Springs city, Florida",T1_POP$1600000US1207525
1600000US1214250,1214250,"Coral Gables city, Florida",T1_POP$1600000US1214250
1600000US1217935,1217935,"Doral city, Florida",T1_POP$1600000US1217935
1600000US1224562,1224562,"Fountainebleau CDP, Florida",T1_POP$1600000US1224562
1600000US1225175,1225175,"Gainesville city, Florida",T1_POP$1600000US1225175
1600000US1226375,1226375,"Golden Glades CDP, Florida",T1_POP$1600000US1226375
1600000US1228400,1228400,"Haines City city, Florida",T1_POP$1600000US1228400
1600000US1230000,1230000,"Hialeah city, Florida",T1_POP$1600000US1230000
1600000US1232275,1232275,"Homestead city, Florida",T1_POP$1600000US1232275
1600000US1234012,1234012,"Iona CDP, Florida",T1_POP$1600000US1234012
1600000US1242425,1242425,"Madison city, Florida",T1_POP$1600000US1242425
1600000US1243975,1243975,"Melbourne city, Florida",T1_POP$1600000US1243975
1600000US1245000,1245000,"Miami city, Florida",T1_POP$1600000US1245000
1600000US1245025,1245025,"Miami Beach city, Florida",T1_POP$1600000US1245025
1600000US1245060,1245060,"Miami Gardens city, Florida",T1_POP$1600000US1245060
1600000US1249350,1249350,"North Fort Myers CDP, Florida",T1_POP$1600000US1249350
1600000US1249450,1249450,"North Miami city, Florida",T1_POP$1600000US1249450
1600000US1254025,1254025,"Palm Beach town, Florida",T1_POP$1600000US1254025
1600000US1254075,1254075,"Palm Beach Gardens city, Florida",T1_POP$1600000US1254075
1600000US1254275,1254275,"Palmetto Bay village, Florida",T1_POP$1600000US1254275
1600000US1254700,1254700,"Panama City city, Florida",T1_POP$1600000US1254700
1600000US1255775,1255775,"Pembroke Pines city, Florida",T1_POP$1600000US1255775
1600000US1267650,1267650,"South Palm Beach town, Florida",T1_POP$1600000US1267650
1600000US1270700,1270700,"Tamiami CDP, Florida",T1_POP$1600000US1270700
1600000US1274150,1274150,"Vero Beach city, Florida",T1_POP$1600000US1274150
1600000US1274200,1274200,"Vero Beach South CDP, Florida",T1_POP$1600000US1274200
1600000US1276600,1276600,"West Palm Beach city, Florida",T1_POP$1600000US1276600
1600000US1300828,1300828,"Ailey city, Georgia",T1_POP$1600000US1300828
1600000US1304000,1304000,"Atlanta city, Georgia",T1_POP$1600000US1304000
1600000US1316600,1316600,"Claxton city, Georgia",T1_POP$1600000US1316600
1600000US1325552,1325552,"Eastman city, Georgia",T1_POP$1600000US1325552
1600000US1330424,1330424,"Folkston city, Georgia",T1_POP$1600000US1330424
1600000US1332048,1332048,"Garden City city, Georgia",T1_POP$1600000US1332048
1600000US1333336,1333336,"Glennville city, Georgia",T1_POP$1600000US1333336
1600000US1347980,1347980,"Lumpkin city, Georgia",T1_POP$1600000US1347980
1600000US1351492,1351492,"Milledgeville city, Georgia",T1_POP$1600000US1351492
1600000US1352696,1352696,"Morgan city, Georgia",T1_POP$1600000US1352696
1600000US1353508,1353508,"Mount Vernon city, Georgia",T1_POP$1600000US1353508
1600000US1356000,1356000,"North Atlanta CDP, Georgia",T1_POP$1600000US1356000
1600000US1356168,1356168,"North Druid Hills CDP, Georgia",T1_POP$1600000US1356168
1600000US1364512,1364512,"Reidsville city, Georgia",T1_POP$1600000US1364512
1600000US1365296,1365296,"Rincon town, Georgia",T1_POP$1600000US1365296
1600000US1368516,1368516,"Sandy Springs city, Georgia",T1_POP$1600000US1368516
1600000US1369000,1369000,"Savannah city, Georgia",T1_POP$1600000US1369000
1600000US1384512,1384512,"Wrightsville city, Georgia",T1_POP$1600000US1384512
1600000US1639700,1639700,"Idaho Falls city, Idaho",T1_POP$1600000US1639700
1600000US1703012,1703012,"Aurora city, Illinois",T1_POP$1600000US1703012
1600000US1714286,1714286,"Christopher city, Illinois",T1_POP$1600000US1714286
1600000US1715001,1715001,"Clinton city, Illinois",T1_POP$1600000US1715001
1600000US1715664,1715664,"Colona city, Illinois",T1_POP$1600000US1715664
1600000US1717077,1717077,"Coyne Center CDP, Illinois",T1_POP$1600000US1717077
1600000US1719161,1719161,"DeKalb city, Illinois",T1_POP$1600000US1719161
1600000US1725141,1725141,"Fairview Heights city, Illinois",T1_POP$1600000US1725141
1600000US1731121,1731121,"Grayslake village, Illinois",T1_POP$1600000US1731121
1600000US1732200,1732200,"Hainesville village, Illinois",T1_POP$1600000US1732200
1600000US1744407,1744407,"Lombard village, Illinois",T1_POP$1600000US1744407
1600000US1754703,1754703,"Oak Grove village, Illinois",T1_POP$1600000US1754703
1600000US1755249,1755249,"O'Fallon city, Illinois",T1_POP$1600000US1755249
1600000US1766066,1766066,"Round Lake Park village, Illinois",T1_POP$1600000US1766066
1600000US1766703,1766703,"St. Charles city, Illinois",T1_POP$1600000US1766703
1600000US1774457,1774457,"Tamms village, Illinois",T1_POP$1600000US1774457
1600000US1778929,1778929,"Warrenville city, Illinois",T1_POP$1600000US1778929
1600000US1825000,1825000,"Fort Wayne city, Indiana",T1_POP$1600000US1825000
1600000US1827054,1827054,"Gas City city, Indiana",T1_POP$1600000US1827054
1600000US1844658,1844658,"Logansport city, Indiana",T1_POP$1600000US1844658
1600000US1846908,1846908,"Marion city, Indiana",T1_POP$1600000US1846908
1600000US1871000,1871000,"South Bend city, Indiana",T1_POP$1600000US1871000
1600000US1903160,1903160,"Asbury city, Iowa",T1_POP$1600000US1903160
1600000US1906355,1906355,"Bettendorf city, Iowa",T1_POP$1600000US1906355
1600000US1909550,1909550,"Burlington city, Iowa",T1_POP$1600000US1909550
1600000US1919000,1919000,"Davenport city, Iowa",T1_POP$1600000US1919000
1600000US1921000,1921000,"Des Moines city, Iowa",T1_POP$1600000US1921000
1600000US1930675,1930675,"Gilbertville city, Iowa",T1_POP$1600000US1930675
1600000US1948500,1948500,"Maharishi Vedic City city, Iowa",T1_POP$1600000US1948500
1600000US1949620,1949620,"Marquette city, Iowa",T1_POP$1600000US1949620
1600000US1957675,1957675,"Norwalk city, Iowa",T1_POP$1600000US1957675
1600000US1983685,1983685,"West Burlington city, Iowa",T1_POP$1600000US1983685
1600000US2025325,2025325,"Garden City city, Kansas",T1_POP$1600000US2025325
1600000US2163912,2163912,"Radcliff city, Kentucky",T1_POP$1600000US2163912
1600000US2251410,2251410,"Monroe city, Louisiana",T1_POP$1600000US2251410
1600000US2277910,2277910,"Varnado village, Louisiana",T1_POP$1600000US2277910
1600000US2401975,2401975,"Arbutus CDP, Maryland",T1_POP$1600000US2401975
1600000US2404000,2404000,"Baltimore city, Maryland",T1_POP$1600000US2404000
1600000US2414125,2414125,"Catonsville CDP, Maryland",T1_POP$1600000US2414125
1600000US2420525,2420525,"Cresaptown CDP, Maryland",T1_POP$1600000US2420525
1600000US2443500,2443500,"Kensington town, Maryland",T1_POP$1600000US2443500
1600000US2445650,2445650,"Lansdowne CDP, Maryland",T1_POP$1600000US2445650
1600000US2459325,2459325,"Overlea CDP, Maryland",T1_POP$1600000US2459325
1600000US2460275,2460275,"Parkville CDP, Maryland",T1_POP$1600000US2460275
1600000US2461400,2461400,"Pikesville CDP, Maryland",T1_POP$1600000US2461400
1600000US2463425,2463425,"Potomac Park CDP, Maryland",T1_POP$1600000US2463425
1600000US2473600,2473600,"South Kensington CDP, Maryland",T1_POP$1600000US2473600
1600000US2478425,2478425,"Towson CDP, Maryland",T1_POP$1600000US2478425
1600000US2507000,2507000,"Boston city, Massachusetts",T1_POP$1600000US2507000
1600000US2509210,2509210,"Brookline CDP, Massachusetts",T1_POP$1600000US2509210
1600000US2539835,2539835,"Medford city, Massachusetts",T1_POP$1600000US2539835
1600000US2550005,2550005,"Norton Center CDP, Massachusetts",T1_POP$1600000US2550005
1600000US2562535,2562535,"Somerville city, Massachusetts",T1_POP$1600000US2562535
1600000US2567700,2567700,"Stoneham CDP, Massachusetts",T1_POP$1600000US2567700
1600000US2572250,2572250,"Wakefield CDP, Massachusetts",T1_POP$1600000US2572250
1600000US2621000,2621000,"Dearborn city, Michigan",T1_POP$1600000US2621000
1600000US2622000,2622000,"Detroit city, Michigan",T1_POP$1600000US2622000
1600000US2624740,2624740,"Ecorse city, Michigan",T1_POP$1600000US2624740
1600000US2635540,2635540,"Grosse Pointe Park city, Michigan",T1_POP$1600000US2635540
1600000US2636280,2636280,"Hamtramck city, Michigan",T1_POP$1600000US2636280
1600000US2673560,2673560,"Shields CDP, Michigan",T1_POP$1600000US2673560
1600000US2715616,2715616,"Dellwood city, Minnesota",T1_POP$1600000US2715616
1600000US2721770,2721770,"Forest Lake city, Minnesota",T1_POP$1600000US2721770
1600000US2725334,2725334,"Grant city, Minnesota",T1_POP$1600000US2725334
1600000US2731328,2731328,"Isanti city, Minnesota",T1_POP$1600000US2731328
1600000US2734244,2734244,"Lake Elmo city, Minnesota",T1_POP$1600000US2734244
1600000US2734865,2734865,"Lake St. Croix Beach city, Minnesota",T1_POP$1600000US2734865
1600000US2735414,2735414,"Landfall city, Minnesota",T1_POP$1600000US2735414
1600000US2747680,2747680,"Oakdale city, Minnesota",T1_POP$1600000US2747680
1600000US2747914,2747914,"Oak Park Heights city, Minnesota",T1_POP$1600000US2747914
1600000US2751064,2751064,"Pine City city, Minnesota",T1_POP$1600000US2751064
1600000US2757292,2757292,"St. Marys Point city, Minnesota",T1_POP$1600000US2757292
1600000US2758018,2758018,"St. Paul Park city, Minnesota",T1_POP$1600000US2758018
1600000US2758900,2758900,"Scandia city, Minnesota",T1_POP$1600000US2758900
1600000US2762824,2762824,"Stillwater city, Minnesota",T1_POP$1600000US2762824
