"CBSACode","CBSApop","CBSAhhi","CBSATitle","Type","CBSAhhico","CBSAhhipl","CBSAplcount","CBSAplby10000","CBSAmdpi2007","CBSApcpop","CBSApcprop","CBSAzb"
10100,40602,0.398185568780869,"Aberdeen, SD",0,0.819574546710255,0.41524286860708,14,3.44810600463031,4.35222620269081,26091,0.642603812620068,5.36583496224752
10140,72797,0.417311597323127,"Aberdeen, WA",0,1,0.0808428662820776,9,1.23631468329739,3.89117936776496,16896,0.232097476544363,5.32670454545455
10180,165252,0.356721732945039,"Abilene, TX",1,0.654945158676478,0.50301331384621,15,0.907704596616077,3.05066999247391,117063,0.708390821291119,1.28136131826452
10220,37492,0.516376424549107,"Ada, OK",0,1,0.20265027711762,6,1.60034140616665,2.60610102423119,16810,0.448362317294356,3.56930398572278
10300,99892,0.514078943679443,"Adrian, MI",0,1,0.0549736113793591,11,1.10118928442718,4.38951194658025,21133,0.211558483161815,5.20512941844509
10420,703200,0.234974701409753,"Akron, OH",1,0.646287266502975,0.0969830067485255,32,0.455062571103527,5.55742156603576,199110,0.283148464163822,1.60715182562403
10460,63797,0.523953974594969,"Alamogordo, NM",0,1,0.229204063013454,3,0.470241547408185,1.87547019721526,30403,0.476558458861702,0.986744729138572
10500,157308,0.257979741466539,"Albany, GA",1,0.416716001732066,0.245104610220803,12,0.762834693721871,2.98152669075423,77434,0.492244513947161,1.54970684712142
10540,116672,0.582915474124426,"Albany, OR",1,1,0.0254023857124654,14,1.19994514536478,3.25166748673191,50158,0.429906061437191,2.79117987160573
10580,870716,0.141092554963841,"Albany-Schenectady-Troy, NY",1,0.252191222665888,0.023632235238266,37,0.424937637530492,8.54829805645932,214120,0.245912559318997,1.72800298897814
10620,60585,0.522179673318569,"Albemarle, NC",0,1,0.0735428455669108,9,1.48551621688537,2.41692764746941,15903,0.262490715523644,5.65930956423316
10660,31255,0.450499313213829,"Albert Lea, MN",0,1,0.334512985425132,14,4.47928331466965,3.69888313048763,18016,0.576419772836346,7.7708703374778
10700,93019,0.595414623983569,"Albertville, AL",0,1,0.0596702270640078,5,0.537524591750073,3.23080058885518,21160,0.227480407228631,2.36294896030246
10740,887077,0.306668225898407,"Albuquerque, NM",1,0.587656973032211,0.389008492878416,19,0.214186592595682,2.7844638392568,545852,0.615337789165991,0.34807969925914
10780,153922,0.383553048666473,"Alexandria, LA",1,0.752139402554851,0.106174120809368,16,1.03948753264641,2.84026205158943,47723,0.310046647003028,3.35268109716489
10820,36009,0.527071384747102,"Alexandria, MN",0,1,0.0978746329552467,11,3.05479185759116,3.88330501048989,11070,0.307423144213947,9.93676603432701
10860,40838,0.499766163639697,"Alice, TX",0,1,0.224098388311857,3,0.734609922131348,1.86649466499443,19104,0.467799598413243,1.57035175879397
10900,821173,0.170966310367774,"Allentown-Bethlehem-Easton, PA-NJ",1,0.336433668965639,0.0316172456649082,47,0.572351989166716,9.3672850719707,193014,0.235046695397925,2.43505652439719
10940,42476,0.470171910403149,"Alma, MI",0,1,0.0857629946627693,6,1.41256238817214,3.50471854788318,9383,0.220901214803654,6.39454332303101
10980,29598,0.593099556940226,"Alpena, MI",0,1,0.126003935767416,2,0.675721332522468,2.29368696640705,10483,0.354179336441651,1.90785080606697
11020,127089,0.48746030946721,"Altoona, PA",1,1,0.137833325380908,10,0.786850160124008,4.63843968956326,46320,0.36446899416944,2.15889464594128
11060,26446,0.45670043697021,"Altus, OK",0,1,0.563370351238591,9,3.40316115858731,2.08942967725684,19813,0.749187022612115,4.54247211426841
11100,251933,0.304348078352341,"Amarillo, TX",1,0.461306593494013,0.575904088136412,14,0.555703302068407,2.1877257927938,190695,0.756927437056678,0.7341566375626
11140,37829,0.41070001816231,"Americus, GA",0,0.77020353505541,0.205831369643216,6,1.58608474979513,2.47455136867591,17041,0.450474503687647,3.52092013379497
11180,89542,0.399361835519249,"Ames, IA",1,1,0.443259272916183,14,1.56351209488285,2.74929904155107,58965,0.658517790534051,2.37428983295175
11220,50219,0.451391212437434,"Amsterdam, NY",0,1,0.144388310001294,11,2.19040602162528,3.67359742772538,18620,0.370776001115116,5.90762620837809
11260,380821,0.376419170924483,"Anchorage, AK",1,0.641839401399107,0.587918343071946,4,0.105036224367879,1.97664154458905,291826,0.766307530309515,0.137067978864118
11380,14786,0.510213548848751,"Andrews, TX",0,1,0.562347839319016,1,0.676315433518193,1.4775067968236,11088,0.749898552684972,0.901875901875902
11420,34185,0.584003302823721,"Angola, IN",0,1,0.0678660136966928,5,1.46262980839549,3.28839130699878,8612,0.25192335819804,5.80585229911751
11460,344791,0.532927795311095,"Ann Arbor, MI",1,1,0.113405446492547,7,0.203021540585456,4.33431847996492,113934,0.330443660072334,0.61439078764899
11500,118572,0.387321238755462,"Anniston-Oxford-Jacksonville, AL",1,1,0.0910038132184993,9,0.759032486590426,3.03889225591962,57002,0.480737442229194,1.57889196870285
11540,225666,0.265888648926234,"Appleton, WI",1,0.660170586049118,0.119992920437826,21,0.930578820026056,5.19618429288148,72623,0.321816312603582,2.89164589730526
11580,34862,0.705186299310868,"Arcadia, FL",0,1,0.0479889208772778,1,0.28684527565831,1.51199610365279,7637,0.219063737020251,1.30941469163284
11620,47557,0.41205528403961,"Ardmore, OK",0,1,0.277653957107836,9,1.89246588304561,2.77433654547483,24283,0.510608322644406,3.70629658608903
11660,22995,0.458431781466295,"Arkadelphia, AR",0,1,0.228177017031175,7,3.0441400304414,2.29379568143574,10714,0.465927375516417,6.53350756020161
11680,36311,0.403359822298218,"Arkansas City-Winfield, KS",0,1,0.232559669351923,9,2.47858775577649,NA,24716,0.680675277464129,3.64136591681502
11700,424858,0.236306958955535,"Asheville, NC",1,0.399465728302168,0.041404240209928,19,0.447208243695541,4.04595817712815,83393,0.19628440561317,2.27836868801938
11740,53139,0.518351484136605,"Ashland, OH",0,1,0.149829862918114,9,1.6936713148535,3.26670911304387,20362,0.383183725700521,4.41999803555643
11780,101497,0.472601440710005,"Ashtabula, OH",0,1,0.0578357064160437,10,0.985250795590017,4.58170239589059,19124,0.188419362148635,5.22903158335076
11820,37039,0.410524764952752,"Astoria, OR",0,1,0.117640871084212,5,1.34992845379195,3.31057761390729,9477,0.255865439131726,5.27593120185713
11860,16924,0.484863892929995,"Atchison, KS",0,1,0.425537662331931,5,2.95438430631057,2.61145404301056,11021,0.651205388796975,4.53679339442882
11900,64757,0.482266477638043,"Athens, OH",0,1,0.143794100768144,10,1.54423460012045,3.86274478853708,23832,0.368021989900706,4.19603893924136
11940,52266,0.490271735776292,"Athens, TN",0,1,0.0840585435667386,6,1.14797382619676,2.49518766856574,13458,0.257490529215934,4.45831475702185
11980,78532,0.471751175307596,"Athens, TX",0,1,0.0370903875876835,20,2.54673254214842,3.41927762647388,12710,0.161844853053532,15.73564122738
12020,192541,0.286284561117226,"Athens-Clarke County, GA",1,0.423802916365052,0.359922550487725,16,0.830991840698864,2.71481319791718,115452,0.599622937452283,1.38585732598829
12060,5286728,0.0584013820694252,"Atlanta-Sandy Springs-Roswell, GA",1,0.0987189060823536,0.00815944642107607,144,0.272380194328136,9.20860431713039,716332,0.135496284280182,2.01024106140728
12100,274549,0.43179822772214,"Atlantic City-Hammonton, NJ",1,1,0.0371029740951042,17,0.619197301756699,3.82394582768731,54349,0.197957377371617,3.12793243665937
12140,42223,0.413011223177065,"Auburn, IN",0,1,0.121972763946808,9,2.13153968216375,3.20499512099308,12731,0.301518129929186,7.0693582593669
12180,80026,0.532197544953448,"Auburn, NY",0,1,0.121228022418218,10,1.24959388198835,4.16314124539666,27687,0.345975058106116,3.61180337342435
