"fips","CBSACode","fipsstate","fipscounty","GEOid","GEOdisplaylabel","totalpop2010","statename","countyname","CBSApop","CBSAhhi","CBSAmpdi","CBSATitle","Type","CBSAhhico","CBSAhhipl","CBSAplcount","CBSAplby10000","CBSAmdpi2007","CBSApcpop","CBSApcprop","CBSAzb","COplcount","COplby10000","id"
"01001",33860,"01","001","0500000US01001","Autauga County, Alabama",54571," Alabama","Autauga County",374536,0.754083118684136,2.9941592404698,"Montgomery, AL",1,0.558003679434546,0.687673502610161,19,0.507294358886729,3.59621124257111,205764,0.549383770852468,0.923387959021014,4,0.732990049660076,"01001"
"01003",19300,"01","003","0500000US01003","Baldwin County, Alabama",182265," Alabama","Baldwin County",182265,0.545330717337227,2.71078056059839,"Daphne-Fairhope-Foley, AL",1,0,0.964356596117514,14,0.7681123638658,3.59048774233893,51514,0.282632430801306,2.71770780758629,14,0.7681123638658,"01003"
"01005",NA,"01","005","0500000US01005","Barbour County, Alabama",27457," Alabama","Barbour County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.18523509487562,"01005"
"01007",13820,"01","007","0500000US01007","Bibb County, Alabama",22915," Alabama","Bibb County",1128047,0.852681726409188,6.266731799647,"Birmingham-Hoover, AL",1,0.615846796614902,0.953299606284194,91,0.806703975986816,6.68085467437158,293856,0.2604997841402,3.09675487313514,5,2.18197687104517,"01007"
"01009",13820,"01","009","0500000US01009","Blount County, Alabama",57322," Alabama","Blount County",1128047,0.852681726409188,6.266731799647,"Birmingham-Hoover, AL",1,0.615846796614902,0.953299606284194,91,0.806703975986816,6.68085467437158,293856,0.2604997841402,3.09675487313514,15,2.61679634346324,"01009"
"01011",NA,"01","011","0500000US01011","Bullock County, Alabama",10914," Alabama","Bullock County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.83250870441635,"01011"
"01013",NA,"01","013","0500000US01013","Butler County, Alabama",20947," Alabama","Butler County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.43218599322099,"01013"
"01015",11500,"01","015","0500000US01015","Calhoun County, Alabama",118572," Alabama","Calhoun County",118572,0.612678761244538,2.47694676353393,"Anniston-Oxford-Jacksonville, AL",1,0,0.908996186781501,9,0.759032486590426,3.03889225591962,57002,0.480737442229194,1.57889196870285,9,0.759032486590426,"01015"
"01017",46740,"01","017","0500000US01017","Chambers County, Alabama",34215," Alabama","Chambers County",34215,0.543553681790923,1.95542539136326,"Valley, AL",0,0,0.879029871217135,6,1.75361683472161,2.69831584538656,9524,0.278357445564811,6.29987400251995,6,1.75361683472161,"01017"
"01019",NA,"01","019","0500000US01019","Cherokee County, Alabama",25989," Alabama","Cherokee County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.30866905229135,"01019"
"01021",13820,"01","021","0500000US01021","Chilton County, Alabama",43643," Alabama","Chilton County",1128047,0.852681726409188,6.266731799647,"Birmingham-Hoover, AL",1,0.615846796614902,0.953299606284194,91,0.806703975986816,6.68085467437158,293856,0.2604997841402,3.09675487313514,5,1.14565909767889,"01021"
"01023",NA,"01","023","0500000US01023","Choctaw County, Alabama",13859," Alabama","Choctaw County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.05086947110181,"01023"
"01025",NA,"01","025","0500000US01025","Clarke County, Alabama",25833," Alabama","Clarke County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.93550884527542,"01025"
"01027",NA,"01","027","0500000US01027","Clay County, Alabama",13932," Alabama","Clay County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.43554407120299,"01027"
"01029",NA,"01","029","0500000US01029","Cleburne County, Alabama",14972," Alabama","Cleburne County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.67165375367352,"01029"
"01031",21460,"01","031","0500000US01031","Coffee County, Alabama",49948," Alabama","Coffee County",49948,0.523077785577596,1.76671295195017,"Enterprise, AL",0,0,0.710330456656423,4,0.800832866180828,3.71404885028368,26562,0.531793064787379,1.50591069949552,4,0.800832866180828,"01031"
"01033",22520,"01","033","0500000US01033","Colbert County, Alabama",54428," Alabama","Colbert County",147137,0.731881376817426,2.69686111519412,"Florence-Muscle Shoals, AL",1,0.466155137124399,0.913265421365152,13,0.883530315284395,3.58635700944294,52465,0.35657244608766,2.47784237110455,6,1.1023737782024,"01033"
"01035",NA,"01","035","0500000US01035","Conecuh County, Alabama",13228," Alabama","Conecuh County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.2679165406713,"01035"
"01037",45180,"01","037","0500000US01037","Coosa County, Alabama",11539," Alabama","Coosa County",93830,0.613678134940437,2.57617049872451,"Talladega-Sylacauga, AL",0,0.215708409324239,0.945611880661225,12,1.2789086646062,2.96840164479395,28425,0.302941489928594,4.22163588390501,3,2.59987867232862,"01037"
"01039",NA,"01","039","0500000US01039","Covington County, Alabama",37765," Alabama","Covington County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3.70713623725672,"01039"
"01041",NA,"01","041","0500000US01041","Crenshaw County, Alabama",13906," Alabama","Crenshaw County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.3146843089314,"01041"
"01043",18980,"01","043","0500000US01043","Cullman County, Alabama",80406," Alabama","Cullman County",80406,0.465755200444188,2.27570529526541,"Cullman, AL",0,0,0.953650263126953,11,1.36805711016591,2.45826605166069,14775,0.183754943660921,7.44500846023689,11,1.36805711016591,"01043"
"01045",37120,"01","045","0500000US01045","Dale County, Alabama",50251," Alabama","Dale County",50251,0.556494873594912,2.38541294213176,"Ozark, AL",0,0,0.895386451529907,10,1.99001014905176,NA,14907,0.296650812919146,6.70825786543235,10,1.99001014905176,"01045"
"01047",42820,"01","047","0500000US01047","Dallas County, Alabama",43820," Alabama","Dallas County",43820,0.499897336398053,1.64350769230694,"Selma, AL",0,0,0.767203769788902,3,0.684618895481515,2.00063158986667,20756,0.473664993153811,1.44536519560609,3,0.684618895481515,"01047"
"01049",NA,"01","049","0500000US01049","DeKalb County, Alabama",71109," Alabama","DeKalb County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.10943762392946,"01049"
"01051",33860,"01","051","0500000US01051","Elmore County, Alabama",79303," Alabama","Elmore County",374536,0.754083118684136,2.9941592404698,"Montgomery, AL",1,0.558003679434546,0.687673502610161,19,0.507294358886729,3.59621124257111,205764,0.549383770852468,0.923387959021014,6,0.75659180611074,"01051"
"01053",NA,"01","053","0500000US01053","Escambia County, Alabama",38319," Alabama","Escambia County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.56580286541924,"01053"
"01055",23460,"01","055","0500000US01055","Etowah County, Alabama",104430," Alabama","Etowah County",104430,0.586642326128193,2.29685029985315,"Gadsden, AL",1,0,0.853235130615945,9,0.861821315713875,3.04807285308658,36856,0.352925404577229,2.44193618406772,9,0.861821315713875,"01055"
"01057",NA,"01","057","0500000US01057","Fayette County, Alabama",17241," Alabama","Fayette County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.48007656168436,"01057"
"01059",NA,"01","059","0500000US01059","Franklin County, Alabama",31704," Alabama","Franklin County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.57708806459753,"01059"
"01061",20020,"01","061","0500000US01061","Geneva County, Alabama",26790," Alabama","Geneva County",145639,0.741329716997625,3.38141648149404,"Dothan, AL",1,0.465890011759588,0.793537214641888,23,1.57924731699613,3.96523498864174,65496,0.449714705539038,3.51166483449371,8,2.98618887644643,"01061"
"01063",NA,"01","063","0500000US01063","Greene County, Alabama",9045," Alabama","Greene County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.42233278054174,"01063"
"01065",46220,"01","065","0500000US01065","Hale County, Alabama",15760," Alabama","Hale County",230162,0.642101247674448,2.75063246459987,"Tuscaloosa, AL",1,0.272683898517321,0.834535429456504,18,0.782057854902199,3.33897656589169,90468,0.393062277873845,1.98965380023876,4,2.53807106598985,"01065"
"01067",20020,"01","067","0500000US01067","Henry County, Alabama",17302," Alabama","Henry County",145639,0.741329716997625,3.38141648149404,"Dothan, AL",1,0.465890011759588,0.793537214641888,23,1.57924731699613,3.96523498864174,65496,0.449714705539038,3.51166483449371,4,2.31187145994683,"01067"
