"GISJOIN","YEAR","REGION","REGIONA","DIVISION","DIVISIONA","STATE","fipsstate","SMSA","SMSAA","COUNTY","fipscounty","CTY_SUB","CTY_SUBA","PLACE","PLACEA","TRACTA","BLOCKA","BLCK_GRPA","EDINDA","ENUMDISTA","SCSA","SCSAA","URB_AREA","URB_AREAA","CDA","AIANHH","AIANHHA","ZIPA","AREANAME","totalpop1980","fips"
"G0100010","1980","","3","","6","Alabama","01","","5240","Autauga","001","","","","","","","","","","","","","","","","","","AUTAUGA COUNTY",32259,"01001"
"G0100030","1980","","3","","6","Alabama","01","","5160","Baldwin","003","","","","","","","","","","","","","","","","","","BALDWIN COUNTY",78556,"01003"
"G0100050","1980","","3","","6","Alabama","01","","","Barbour","005","","","","","","","","","","","","","","","","","","BARBOUR COUNTY",24756,"01005"
"G0100070","1980","","3","","6","Alabama","01","","","Bibb","007","","","","","","","","","","","","","","","","","","BIBB COUNTY",15723,"01007"
"G0100090","1980","","3","","6","Alabama","01","","","Blount","009","","","","","","","","","","","","","","","","","","BLOUNT COUNTY",36459,"01009"
"G0100110","1980","","3","","6","Alabama","01","","","Bullock","011","","","","","","","","","","","","","","","","","","BULLOCK COUNTY",10596,"01011"
"G0100130","1980","","3","","6","Alabama","01","","","Butler","013","","","","","","","","","","","","","","","","","","BUTLER COUNTY",21680,"01013"
"G0100150","1980","","3","","6","Alabama","01","","0450","Calhoun","015","","","","","","","","","","","","","","","","","","CALHOUN COUNTY",119761,"01015"
"G0100170","1980","","3","","6","Alabama","01","","","Chambers","017","","","","","","","","","","","","","","","","","","CHAMBERS COUNTY",39191,"01017"
"G0100190","1980","","3","","6","Alabama","01","","","Cherokee","019","","","","","","","","","","","","","","","","","","CHEROKEE COUNTY",18760,"01019"
"G0100210","1980","","3","","6","Alabama","01","","","Chilton","021","","","","","","","","","","","","","","","","","","CHILTON COUNTY",30612,"01021"
"G0100230","1980","","3","","6","Alabama","01","","","Choctaw","023","","","","","","","","","","","","","","","","","","CHOCTAW COUNTY",16839,"01023"
"G0100250","1980","","3","","6","Alabama","01","","","Clarke","025","","","","","","","","","","","","","","","","","","CLARKE COUNTY",27702,"01025"
"G0100270","1980","","3","","6","Alabama","01","","","Clay","027","","","","","","","","","","","","","","","","","","CLAY COUNTY",13703,"01027"
"G0100290","1980","","3","","6","Alabama","01","","","Cleburne","029","","","","","","","","","","","","","","","","","","CLEBURNE COUNTY",12595,"01029"
"G0100310","1980","","3","","6","Alabama","01","","","Coffee","031","","","","","","","","","","","","","","","","","","COFFEE COUNTY",38533,"01031"
"G0100330","1980","","3","","6","Alabama","01","","2650","Colbert","033","","","","","","","","","","","","","","","","","","COLBERT COUNTY",54519,"01033"
"G0100350","1980","","3","","6","Alabama","01","","","Conecuh","035","","","","","","","","","","","","","","","","","","CONECUH COUNTY",15884,"01035"
"G0100370","1980","","3","","6","Alabama","01","","","Coosa","037","","","","","","","","","","","","","","","","","","COOSA COUNTY",11377,"01037"
"G0100390","1980","","3","","6","Alabama","01","","","Covington","039","","","","","","","","","","","","","","","","","","COVINGTON COUNTY",36850,"01039"
"G0100410","1980","","3","","6","Alabama","01","","","Crenshaw","041","","","","","","","","","","","","","","","","","","CRENSHAW COUNTY",14110,"01041"
"G0100430","1980","","3","","6","Alabama","01","","","Cullman","043","","","","","","","","","","","","","","","","","","CULLMAN COUNTY",61642,"01043"
"G0100450","1980","","3","","6","Alabama","01","","","Dale","045","","","","","","","","","","","","","","","","","","DALE COUNTY",47821,"01045"
"G0100470","1980","","3","","6","Alabama","01","","","Dallas","047","","","","","","","","","","","","","","","","","","DALLAS COUNTY",53981,"01047"
"G0100490","1980","","3","","6","Alabama","01","","","DeKalb","049","","","","","","","","","","","","","","","","","","DE KALB COUNTY",53658,"01049"
"G0100510","1980","","3","","6","Alabama","01","","5240","Elmore","051","","","","","","","","","","","","","","","","","","ELMORE COUNTY",43390,"01051"
"G0100530","1980","","3","","6","Alabama","01","","","Escambia","053","","","","","","","","","","","","","","","","","","ESCAMBIA COUNTY",38440,"01053"
"G0100550","1980","","3","","6","Alabama","01","","2880","Etowah","055","","","","","","","","","","","","","","","","","","ETOWAH COUNTY",103057,"01055"
"G0100570","1980","","3","","6","Alabama","01","","","Fayette","057","","","","","","","","","","","","","","","","","","FAYETTE COUNTY",18809,"01057"
"G0100590","1980","","3","","6","Alabama","01","","","Franklin","059","","","","","","","","","","","","","","","","","","FRANKLIN COUNTY",28350,"01059"
"G0100610","1980","","3","","6","Alabama","01","","","Geneva","061","","","","","","","","","","","","","","","","","","GENEVA COUNTY",24253,"01061"
"G0100630","1980","","3","","6","Alabama","01","","","Greene","063","","","","","","","","","","","","","","","","","","GREENE COUNTY",11021,"01063"
"G0100650","1980","","3","","6","Alabama","01","","","Hale","065","","","","","","","","","","","","","","","","","","HALE COUNTY",15604,"01065"
"G0100670","1980","","3","","6","Alabama","01","","","Henry","067","","","","","","","","","","","","","","","","","","HENRY COUNTY",15302,"01067"
"G0100690","1980","","3","","6","Alabama","01","","","Houston","069","","","","","","","","","","","","","","","","","","HOUSTON COUNTY",74632,"01069"
"G0100710","1980","","3","","6","Alabama","01","","","Jackson","071","","","","","","","","","","","","","","","","","","JACKSON COUNTY",51407,"01071"
"G0100730","1980","","3","","6","Alabama","01","","1000","Jefferson","073","","","","","","","","","","","","","","","","","","JEFFERSON COUNTY",671324,"01073"
"G0100750","1980","","3","","6","Alabama","01","","","Lamar","075","","","","","","","","","","","","","","","","","","LAMAR COUNTY",16453,"01075"
"G0100770","1980","","3","","6","Alabama","01","","2650","Lauderdale","077","","","","","","","","","","","","","","","","","","LAUDERDALE COUNTY",80546,"01077"
"G0100790","1980","","3","","6","Alabama","01","","","Lawrence","079","","","","","","","","","","","","","","","","","","LAWRENCE COUNTY",30170,"01079"
"G0100810","1980","","3","","6","Alabama","01","","","Lee","081","","","","","","","","","","","","","","","","","","LEE COUNTY",76283,"01081"
"G0100830","1980","","3","","6","Alabama","01","","3440","Limestone","083","","","","","","","","","","","","","","","","","","LIMESTONE COUNTY",46005,"01083"
"G0100850","1980","","3","","6","Alabama","01","","","Lowndes","085","","","","","","","","","","","","","","","","","","LOWNDES COUNTY",13253,"01085"
"G0100870","1980","","3","","6","Alabama","01","","","Macon","087","","","","","","","","","","","","","","","","","","MACON COUNTY",26829,"01087"
"G0100890","1980","","3","","6","Alabama","01","","3440","Madison","089","","","","","","","","","","","","","","","","","","MADISON COUNTY",196966,"01089"
"G0100910","1980","","3","","6","Alabama","01","","","Marengo","091","","","","","","","","","","","","","","","","","","MARENGO COUNTY",25047,"01091"
"G0100930","1980","","3","","6","Alabama","01","","","Marion","093","","","","","","","","","","","","","","","","","","MARION COUNTY",30041,"01093"
"G0100950","1980","","3","","6","Alabama","01","","3440","Marshall","095","","","","","","","","","","","","","","","","","","MARSHALL COUNTY",65622,"01095"
"G0100970","1980","","3","","6","Alabama","01","","5160","Mobile","097","","","","","","","","","","","","","","","","","","MOBILE COUNTY",364980,"01097"
"G0100990","1980","","3","","6","Alabama","01","","","Monroe","099","","","","","","","","","","","","","","","","","","MONROE COUNTY",22651,"01099"
"G0101010","1980","","3","","6","Alabama","01","","5240","Montgomery","101","","","","","","","","","","","","","","","","","","MONTGOMERY COUNTY",197038,"01101"
"G0101030","1980","","3","","6","Alabama","01","","","Morgan","103","","","","","","","","","","","","","","","","","","MORGAN COUNTY",90231,"01103"
"G0101050","1980","","3","","6","Alabama","01","","","Perry","105","","","","","","","","","","","","","","","","","","PERRY COUNTY",15012,"01105"
"G0101070","1980","","3","","6","Alabama","01","","","Pickens","107","","","","","","","","","","","","","","","","","","PICKENS COUNTY",21481,"01107"
"G0101090","1980","","3","","6","Alabama","01","","","Pike","109","","","","","","","","","","","","","","","","","","PIKE COUNTY",28050,"01109"
"G0101110","1980","","3","","6","Alabama","01","","","Randolph","111","","","","","","","","","","","","","","","","","","RANDOLPH COUNTY",20075,"01111"
"G0101130","1980","","3","","6","Alabama","01","","1800","Russell","113","","","","","","","","","","","","","","","","","","RUSSELL COUNTY",47356,"01113"
"G0101150","1980","","3","","6","Alabama","01","","1000","St Clair","115","","","","","","","","","","","","","","","","","","ST. CLAIR COUNTY",41205,"01115"
"G0101170","1980","","3","","6","Alabama","01","","1000","Shelby","117","","","","","","","","","","","","","","","","","","SHELBY COUNTY",66298,"01117"
"G0101190","1980","","3","","6","Alabama","01","","","Sumter","119","","","","","","","","","","","","","","","","","","SUMTER COUNTY",16908,"01119"
"G0101210","1980","","3","","6","Alabama","01","","","Talladega","121","","","","","","","","","","","","","","","","","","TALLADEGA COUNTY",73826,"01121"
"G0101230","1980","","3","","6","Alabama","01","","","Tallapoosa","123","","","","","","","","","","","","","","","","","","TALLAPOOSA COUNTY",38676,"01123"
